IDCentro,Client,Channel 1,Channel 2,CD
AV26,13667629,KA,UC,CD Autosur
AV30,12193458,UC,UC,CD Riohacha
AV72,11463841,UC,UC,CD Cenfer UDC
AV20,12902556,UC,UC,CD Cucuta
AV06,10606683,UC,UC,CD Tocancipa
AV27,12615587,UC,UC,CD Ibague
AV49,10363088,UC,UC,CD Metroparque
AV10,11412182,UC,UC,CD Turbaco
AV55,14186112,UC,UC,CD Girardota
AV06,14095814,UC,UC,CD Tocancipa
AV47,11616350,UC,UC,CD Sibate
AV20,13928461,UC,UC,CD Cucuta
AV04,12275790,UC,UC,CD Tibasosa
AV39,14195096,UC,UC,CD Monteria
AV06,11705503,UC,UC,CD Tocancipa
AV40,13937323,UC,UC,CD Caucasia
AV50,11290114,UC,UC,CD Siberia
AV06,13837491,KA,KA,CD Tocancipa
AV42,13873905,UC,UC,CD Tunja
AV49,13975941,UC,UC,CD Metroparque
AV28,14127136,UC,UC,CD Popayan
AV55,10529657,UD DSD,UD DSD,CD Girardota
AV04,13449432,UC,UC,CD Tibasosa
AV39,12965816,UC,UC,CD Monteria
AV16,14164545,UC,UC,CD Pereira
AV16,12787900,UC,UC,CD Pereira
AV46,10890975,UC,UC,CD Cali
AV47,12580728,UC,UC,CD Sibate
AV06,13081609,UC,UC,CD Tocancipa
AV04,13885840,UC,UC,CD Tibasosa
AV49,13957961,UC,UC,CD Metroparque
AV26,13497392,UC,UC,CD Autosur
AV17,14114920,UC,UC,CD Girardot
AV20,12265608,UC,UC,CD Cucuta
AV55,10521893,UC,UC,CD Girardota
AV19,14192408,UC,UC,CD Villavicencio
AV78,13244324,UC,UC,CD Montevideo
AV24,11681729,UC,UC,CD Yopal
AV15,10450503,UC,UC,CD Pasto
AV46,10893484,UD DSD,UD DSD,CD Cali
AV68,10485288,UC,UC,CD Bodega MKP Tocancipá
AV50,12770735,UC,UC,CD Siberia
AV20,14192826,KA,UC,CD Cucuta
AV05,10564354,KA,KA,CD Itagüi
AV42,12870233,UC,UC,CD Tunja
AV17,14118510,UC,UC,CD Girardot
AV04,14113383,UC,UC,CD Tibasosa
AV34,13537518,UC,UC,CD Puente Nacional
AV16,12590281,UC,UC,CD Pereira
AV49,11796750,UC,UC,CD Metroparque
AV05,11454660,UC,UC,CD Itagüi
AV55,12666125,UC,UC,CD Girardota
AV74,12787807,UC,UC,CD La arenosa
AV20,11572919,UC,UC,CD Cucuta
AV46,11714866,UC,UC,CD Cali
AV35,13474020,UC,UC,CD San Gil
AV70,13729321,UC,UC,CD Envigado UDC
AV46,10883046,UC,UC,CD Cali
AV19,13877164,UC,UC,CD Villavicencio
AV53,11696494,UC,UC,CD Bosa UDC
AV27,13011136,UC,UC,CD Ibague
AV06,12102215,UC,UC,CD Tocancipa
AV28,11582280,UC,UC,CD Popayan
AV70,10540111,UC,UC,CD Envigado UDC
AV70,11327880,KA,UC,CD Envigado UDC
AV06,11102932,KA,KA,CD Tocancipa
AV05,12937956,UC,UC,CD Itagüi
AV35,10787335,UC,UC,CD San Gil
AV78,12580045,UC,UC,CD Montevideo
AV26,10633076,UC,UC,CD Autosur
AV04,10283558,UC,UC,CD Tibasosa
AV25,10327154,UC,UC,CD Honda
AV47,14195596,UC,UC,CD Sibate
AV04,10281944,UC,UC,CD Tibasosa
AV05,13940380,UD DSD,UD DSD,CD Itagüi
AV50,12440386,UC,UC,CD Siberia
AV49,12950883,UC,UC,CD Metroparque
AV17,13244878,UC,UC,CD Girardot
AV46,10881925,UC,UC,CD Cali
AV47,11706269,KA,UC,CD Sibate
AV26,13901790,UC,UC,CD Autosur
AV46,10891924,UC,UC,CD Cali
AV55,11648478,UD DSD,UD DSD,CD Girardota
AV05,12977950,UC,UC,CD Itagüi
AV40,10939681,UC,UC,CD Caucasia
AV39,13056978,UC,UC,CD Monteria
AV16,14175089,UC,UC,CD Pereira
AV05,13401049,KA,KA,CD Itagüi
AV10,13725494,UC,UC,CD Turbaco
AV19,14190302,UC,UC,CD Villavicencio
AV06,10611007,UC,UC,CD Tocancipa
AV17,14111876,UC,UC,CD Girardot
AV20,13305245,UC,UC,CD Cucuta
AV71,13052698,UC,UC,CD Chapinero UDC
AV33,13937957,UC,UC,CD Aguachica
AV04,12460686,UC,UC,CD Tibasosa
AV15,12456831,UC,UC,CD Pasto
AV39,12944867,UC,UC,CD Monteria
AV16,10458755,UC,UC,CD Pereira
AV04,11436695,UC,UC,CD Tibasosa
AV54,13304894,UC,UC,CD Engativa UDC
AV49,13331290,UC,UC,CD Metroparque
AV39,10504193,UC,UC,CD Monteria
AV23,13512821,UC,UC,CD Bucaramanga
AV39,10497247,UC,UC,CD Monteria
AV50,14104649,UC,UC,CD Siberia
AV10,12740139,UC,UC,CD Turbaco
AV42,10279855,UC,UC,CD Tunja
AV06,13980280,KA,KA,CD Tocancipa
AV26,11478652,UC,UC,CD Autosur
AV49,13021290,UC,UC,CD Metroparque
AV04,10283060,UC,UC,CD Tibasosa
AV27,13186246,UC,UC,CD Ibague
AV23,13495469,UC,UC,CD Bucaramanga
AV06,13246715,UC,UC,CD Tocancipa
AV04,11136126,UC,UC,CD Tibasosa
AV42,12126900,UC,UC,CD Tunja
AV11,14130911,UC,UC,CD Santa Marta
AV04,12223829,KA,UC,CD Tibasosa
AV02,10439500,UC,UC,CD Bucaramanga
AV25,10346249,UC,UC,CD Honda
AV74,13052584,KA,KA,CD La arenosa
AV27,14150232,UC,UC,CD Ibague
AV46,10889048,UD DSD,UD DSD,CD Cali
AV42,11405707,UC,UC,CD Tunja
AV32,12713456,UC,UC,CD Magangue
AV13,11512706,UC,UC,CD Corozal
AV24,12850822,UC,UC,CD Yopal
AV10,13738547,UC,UC,CD Turbaco
AV52,13771779,UC,UC,CD Aranjuez UDC
AV47,12949974,UC,UC,CD Sibate
AV04,13233647,KA,UC,CD Tibasosa
AV68,11180790,UC,UC,CD Bodega MKP Tocancipá
AV68,12523858,UC,UC,CD Bodega MKP Tocancipá
AV57,13719593,UC,UC,CD Tulua
AV74,11339195,UC,UC,CD La arenosa
AV49,10361028,UC,UC,CD Metroparque
AV04,10280421,UC,UC,CD Tibasosa
AV20,12583094,UC,UC,CD Cucuta
AV68,13980483,UC,UC,CD Bodega MKP Tocancipá
AV52,11431518,UC,UC,CD Aranjuez UDC
AV52,12576879,UC,UC,CD Aranjuez UDC
AV55,14160423,UC,UC,CD Girardota
AV49,12718943,UC,UC,CD Metroparque
AV42,12974055,UC,UC,CD Tunja
AV19,14097354,UC,UC,CD Villavicencio
AV20,13725247,UC,UC,CD Cucuta
AV05,10518235,UC,UC,CD Itagüi
AV47,13944691,UC,UC,CD Sibate
AV78,14009700,UC,UC,CD Montevideo
AV52,11615672,UC,UC,CD Aranjuez UDC
AV05,13176074,UD DSD,UD DSD,CD Itagüi
AV55,12610736,UC,UC,CD Girardota
AV26,11629191,UC,UC,CD Autosur
AV46,12875787,UC,UC,CD Cali
AV78,12965845,KA,UC,CD Montevideo
AV49,12681282,UC,UC,CD Metroparque
AV34,12536884,UC,UC,CD Puente Nacional
AV20,11441628,UC,UC,CD Cucuta
AV01,13733421,KA,KA,CD Yumbo
AV06,11275570,UC,UC,CD Tocancipa
AV28,12254431,UC,UC,CD Popayan
AV24,11253825,UC,UC,CD Yopal
AV06,14128828,UC,UC,CD Tocancipa
AV46,10896056,UD DSD,UD DSD,CD Cali
AV35,11775856,UC,UC,CD San Gil
AV04,10287028,UC,UC,CD Tibasosa
AV22,10365598,UC,UC,CD Armenia
AV20,11450811,UC,UC,CD Cucuta
AV11,13873450,UC,UC,CD Santa Marta
AV55,12294321,UC,UC,CD Girardota
AV11,12223807,KA,UC,CD Santa Marta
AV49,11678853,UC,UC,CD Metroparque
AV04,10283433,UC,UC,CD Tibasosa
AV11,12724445,UC,UC,CD Santa Marta
AV66,11633018,UC,UC,CD Chiquinquira
AV47,10767804,UC,UC,CD Sibate
AV26,14029054,UC,UC,CD Autosur
AV15,13912910,UC,UC,CD Pasto
AV55,13500687,UC,UC,CD Girardota
AV50,10606696,UC,UC,CD Siberia
AV46,11707621,UD DSD,UD DSD,CD Cali
AV27,10333861,UC,UC,CD Ibague
AV20,12976522,KA,UC,CD Cucuta
AV20,11753525,UC,UC,CD Cucuta
AV50,14007029,UC,UC,CD Siberia
AV17,14085095,UC,UC,CD Girardot
AV74,10478209,UC,UC,CD La arenosa
AV18,12404434,UC,UC,CD Neiva
AV34,13686937,UC,UC,CD Puente Nacional
AV16,11445388,UC,UC,CD Pereira
AV17,11394009,UC,UC,CD Girardot
AV20,13440706,UC,UC,CD Cucuta
AV26,13039682,UC,UC,CD Autosur
AV04,11156735,UC,UC,CD Tibasosa
AV46,10889385,UD DSD,UD DSD,CD Cali
AV20,12300132,UC,UC,CD Cucuta
AV19,11347089,KA,UC,CD Villavicencio
AV05,12939442,UC,UC,CD Itagüi
AV74,11480567,UC,UC,CD La arenosa
AV04,10290380,UC,UC,CD Tibasosa
AV27,11506189,UC,UC,CD Ibague
AV06,13410042,UC,UC,CD Tocancipa
AV05,10512734,UC,UC,CD Itagüi
AV52,11295679,UC,UC,CD Aranjuez UDC
AV35,12924335,UC,UC,CD San Gil
AV05,12485857,UC,UC,CD Itagüi
AV50,10602537,UC,UC,CD Siberia
AV06,10597632,UC,UC,CD Tocancipa
AV22,10362950,UC,UC,CD Armenia
AV26,10625596,UC,UC,CD Autosur
AV19,10428927,UC,UC,CD Villavicencio
AV46,12265835,UC,UC,CD Cali
AV55,10528905,UC,UC,CD Girardota
AV78,13755818,UD DSD,UD DSD,CD Montevideo
AV54,10634622,UC,UC,CD Engativa UDC
AV06,10610999,UC,UC,CD Tocancipa
AV71,12985730,UC,UC,CD Chapinero UDC
AV04,12447328,UC,UC,CD Tibasosa
AV78,11770142,UC,UC,CD Montevideo
AV42,13542950,UC,UC,CD Tunja
AV30,13975608,UC,UC,CD Riohacha
AV52,10523644,KA,UC,CD Aranjuez UDC
AV16,13027912,UC,UC,CD Pereira
AV39,14171304,UC,UC,CD Monteria
AV69,13843196,UC,UC,CD CAR Torices UDC
AV20,11762492,UC,UC,CD Cucuta
AV06,13407254,UC,UC,CD Tocancipa
AV20,11874401,UC,UC,CD Cucuta
AV46,12256935,UC,UC,CD Cali
AV57,13248074,UC,UC,CD Tulua
AV04,14131281,UC,UC,CD Tibasosa
AV27,14188785,UC,UC,CD Ibague
AV47,12184076,UC,UC,CD Sibate
AV19,13716806,UC,UC,CD Villavicencio
AV16,14067699,KA,KA,CD Pereira
AV04,12769999,UC,UC,CD Tibasosa
AV74,13835314,KA,KA,CD La arenosa
AV04,11611957,UC,UC,CD Tibasosa
AV19,14106205,UC,UC,CD Villavicencio
AV37,13475842,UC,UC,CD Barrancabermeja
AV55,13962218,UC,UC,CD Girardota
AV34,13719005,UC,UC,CD Puente Nacional
AV22,11511075,UC,UC,CD Armenia
AV53,12871281,UC,UC,CD Bosa UDC
AV46,10887007,UC,UC,CD Cali
AV46,12117302,UD DSD,UD DSD,CD Cali
AV46,13538675,UC,UC,CD Cali
AV50,11614047,UC,UC,CD Siberia
AV15,10450137,UC,UC,CD Pasto
AV70,12257584,UC,UC,CD Envigado UDC
AV46,10887574,UD DSD,UD DSD,CD Cali
AV46,13548670,UC,UC,CD Cali
AV20,13756391,UC,UC,CD Cucuta
AV26,12768293,UC,UC,CD Autosur
AV50,12285109,UC,UC,CD Siberia
AV04,12449423,UC,UC,CD Tibasosa
AV39,13829986,UC,UC,CD Monteria
AV19,11256091,UC,UC,CD Villavicencio
AV06,12539900,KA,KA,CD Tocancipa
AV12,13835123,UC,UC,CD Valledupar
AV11,12761395,UC,UC,CD Santa Marta
AV66,10482586,UC,UC,CD Chiquinquira
AV10,14189009,UC,UC,CD Turbaco
AV20,13726396,UC,UC,CD Cucuta
AV68,10491083,UC,UC,CD Bodega MKP Tocancipá
AV26,12798700,UC,UC,CD Autosur
AV46,10924608,KA,UC,CD Cali
AV20,12726930,UC,UC,CD Cucuta
AV49,13679242,UC,UC,CD Metroparque
AV33,14147021,UC,UC,CD Aguachica
AV53,14108794,UC,UC,CD Bosa UDC
AV10,11449438,UC,UC,CD Turbaco
AV49,11349803,UC,UC,CD Metroparque
AV66,10482848,UC,UC,CD Chiquinquira
AV47,10590665,UC,UC,CD Sibate
AV17,10742503,UC,UC,CD Girardot
AV68,12190847,UC,UC,CD Bodega MKP Tocancipá
AV13,10475702,UC,UC,CD Corozal
AV53,13875503,UC,UC,CD Bosa UDC
AV10,11129435,UC,UC,CD Turbaco
AV16,11400782,KA,KA,CD Pereira
AV17,12273673,UD DSD,UD DSD,CD Girardot
AV46,14126793,UC,UC,CD Cali
AV49,13813769,UC,UC,CD Metroparque
AV22,13841378,UC,UC,CD Armenia
AV26,11787508,UC,UC,CD Autosur
AV19,13731091,UC,UC,CD Villavicencio
AV50,10587947,UC,UC,CD Siberia
AV06,10561868,UC,UC,CD Tocancipa
AV55,10525858,UC,UC,CD Girardota
AV13,13948040,UC,UC,CD Corozal
AV74,13835300,KA,KA,CD La arenosa
AV78,12565158,UC,UC,CD Montevideo
AV55,14192181,UC,UC,CD Girardota
AV26,14171381,UC,UC,CD Autosur
AV42,14105643,UC,UC,CD Tunja
AV02,12184555,UC,UC,CD Bucaramanga
AV46,11571569,UC,UC,CD Cali
AV39,10502702,UC,UC,CD Monteria
AV39,10496660,UC,UC,CD Monteria
AV26,13037395,UC,UC,CD Autosur
AV12,13518748,UC,UC,CD Valledupar
AV04,12886130,UC,UC,CD Tibasosa
AV39,13192203,UC,UC,CD Monteria
AV16,10453738,UC,UC,CD Pereira
AV46,13850342,UC,UC,CD Cali
AV36,14154537,UC,UC,CD Fonseca
AV50,12455230,UC,UC,CD Siberia
AV05,14160394,UC,UC,CD Itagüi
AV73,13837462,UC,UC,CD El Jardin UDC
AV04,11580673,UC,UC,CD Tibasosa
AV46,13877557,UC,UC,CD Cali
AV25,10328956,UC,UC,CD Honda
AV24,12105568,UC,UC,CD Yopal
AV74,13802664,UC,UC,CD La arenosa
AV29,13408904,UC,UC,CD San Andres
AV32,14084703,UC,UC,CD Magangue
AV46,10891882,UC,UC,CD Cali
AV19,11416466,UC,UC,CD Villavicencio
AV06,12860640,UC,UC,CD Tocancipa
AV54,14012510,UC,UC,CD Engativa UDC
AV42,13998638,UC,UC,CD Tunja
AV13,14025410,UC,UC,CD Corozal
AV23,13205354,UC,UC,CD Bucaramanga
AV05,10519425,UC,UC,CD Itagüi
AV05,11609204,UC,UC,CD Itagüi
AV04,10285908,UC,UC,CD Tibasosa
AV04,11150104,UC,UC,CD Tibasosa
AV20,14143154,UC,UC,CD Cucuta
AV46,10891319,UC,UC,CD Cali
AV04,13756755,UC,UC,CD Tibasosa
AV50,11597999,UC,UC,CD Siberia
AV11,10148951,UC,UC,CD Santa Marta
AV70,13550322,UC,UC,CD Envigado UDC
AV15,11410989,UC,UC,CD Pasto
AV25,12158641,UC,UC,CD Honda
AV19,12719391,UC,UC,CD Villavicencio
AV16,10465991,UC,UC,CD Pereira
AV55,10521937,UD DSD,UD DSD,CD Girardota
AV42,12818539,UC,UC,CD Tunja
AV17,11258161,UC,UC,CD Girardot
AV55,14162152,UC,UC,CD Girardota
AV36,11503652,UC,UC,CD Fonseca
AV49,13028301,UC,UC,CD Metroparque
AV47,12883974,UC,UC,CD Sibate
AV39,10499311,UC,UC,CD Monteria
AV50,10602120,UC,UC,CD Siberia
AV19,10411734,UC,UC,CD Villavicencio
AV26,13491099,UC,UC,CD Autosur
AV50,10594650,UC,UC,CD Siberia
AV18,13409228,UC,UC,CD Neiva
AV04,11305214,UC,UC,CD Tibasosa
AV53,14092491,UC,UC,CD Bosa UDC
AV11,11297206,UC,UC,CD Santa Marta
AV02,10948732,KA,KA,CD Bucaramanga
AV66,13363600,UC,UC,CD Chiquinquira
AV10,10274270,UC,UC,CD Turbaco
AV25,11332663,UC,UC,CD Honda
AV78,11296204,UC,UC,CD Montevideo
AV46,12070877,UC,UC,CD Cali
AV46,10888523,UD DSD,UD DSD,CD Cali
AV72,12156161,UC,UC,CD Cenfer UDC
AV10,14137978,UC,UC,CD Turbaco
AV25,11132257,UC,UC,CD Honda
AV28,10319325,KA,UC,CD Popayan
AV01,12437709,KA,KA,CD Yumbo
AV27,12100467,KA,UC,CD Ibague
AV37,13478529,UC,UC,CD Barrancabermeja
AV66,13959913,UC,UC,CD Chiquinquira
AV27,13030228,UC,UC,CD Ibague
AV47,11575170,UC,UC,CD Sibate
AV47,10769869,UC,UC,CD Sibate
AV46,12545163,UC,UC,CD Cali
AV39,14039701,UC,UC,CD Monteria
AV45,12599537,UC,UC,CD Av Colombia UDC
AV54,12902825,UC,UC,CD Engativa UDC
AV71,13522014,UC,UC,CD Chapinero UDC
AV06,13547902,UC,UC,CD Tocancipa
AV04,13754244,UC,UC,CD Tibasosa
AV72,13752344,UC,UC,CD Cenfer UDC
AV46,12413060,UD DSD,UD DSD,CD Cali
AV06,10587876,UC,UC,CD Tocancipa
AV50,13742087,UC,UC,CD Siberia
AV12,12649032,UC,UC,CD Valledupar
AV47,12591912,UC,UC,CD Sibate
AV05,13358780,UC,UC,CD Itagüi
AV26,12559947,UC,UC,CD Autosur
AV23,13846372,UC,UC,CD Bucaramanga
AV47,13777372,UC,UC,CD Sibate
AV02,13169717,UC,UC,CD Bucaramanga
AV10,11395193,UC,UC,CD Turbaco
AV29,10278244,KA,UC,CD San Andres
AV39,12945209,UC,UC,CD Monteria
AV24,13546156,UC,UC,CD Yopal
AV55,13955181,UC,UC,CD Girardota
AV02,10439444,UC,UC,CD Bucaramanga
AV02,13924290,UC,UC,CD Bucaramanga
AV30,13177291,UC,UC,CD Riohacha
AV04,10284958,UC,UC,CD Tibasosa
AV66,14011996,UC,UC,CD Chiquinquira
AV39,11209962,UC,UC,CD Monteria
AV39,13940109,UC,UC,CD Monteria
AV26,12939484,UC,UC,CD Autosur
AV50,12950696,UC,UC,CD Siberia
AV19,12269398,UC,UC,CD Villavicencio
AV53,11382564,UC,UC,CD Bosa UDC
AV47,12308403,UC,UC,CD Sibate
AV04,14147624,UC,UC,CD Tibasosa
AV16,13821662,KA,KA,CD Pereira
AV20,13449776,UC,UC,CD Cucuta
AV68,12479173,UC,UC,CD Bodega MKP Tocancipá
AV23,14049346,UC,UC,CD Bucaramanga
AV27,10332581,UC,UC,CD Ibague
AV55,10526069,UC,UC,CD Girardota
AV74,13314768,UC,UC,CD La arenosa
AV04,10285494,UC,UC,CD Tibasosa
AV49,13362931,UC,UC,CD Metroparque
AV26,12485329,UC,UC,CD Autosur
AV12,13802113,UC,UC,CD Valledupar
AV05,12791657,UC,UC,CD Itagüi
AV26,10794634,KA,UC,CD Autosur
AV22,10360524,UC,UC,CD Armenia
AV55,14160612,UC,UC,CD Girardota
AV78,14130672,UC,UC,CD Montevideo
AV66,13011097,UC,UC,CD Chiquinquira
AV19,14119211,UC,UC,CD Villavicencio
AV50,10607649,UC,UC,CD Siberia
AV52,13745325,UC,UC,CD Aranjuez UDC
AV12,12902884,KA,UC,CD Valledupar
AV30,14034056,UC,UC,CD Riohacha
AV47,11723077,UC,UC,CD Sibate
AV25,12491433,UC,UC,CD Honda
AV18,12590338,UC,UC,CD Neiva
AV10,13724014,UC,UC,CD Turbaco
AV17,14113738,UC,UC,CD Girardot
AV15,10456397,UC,UC,CD Pasto
AV17,12726111,UC,UC,CD Girardot
AV46,10889068,UD DSD,UD DSD,CD Cali
AV06,10596352,UC,UC,CD Tocancipa
AV22,10364686,UC,UC,CD Armenia
AV49,12798710,UC,UC,CD Metroparque
AV34,13363313,UC,UC,CD Puente Nacional
AV06,10586355,UC,UC,CD Tocancipa
AV55,13952540,UC,UC,CD Girardota
AV53,12402133,UC,UC,CD Bosa UDC
AV15,10434339,UC,UC,CD Pasto
AV15,13721595,UC,UC,CD Pasto
AV13,11352666,UC,UC,CD Corozal
AV42,12576454,UC,UC,CD Tunja
AV46,10883379,UC,UC,CD Cali
AV50,10600394,UC,UC,CD Siberia
AV25,13752308,UC,UC,CD Honda
AV55,13763858,UC,UC,CD Girardota
AV06,13845917,UC,UC,CD Tocancipa
AV50,12444950,UC,UC,CD Siberia
AV46,10893373,UC,UC,CD Cali
AV50,14102786,UC,UC,CD Siberia
AV20,11125880,UC,UC,CD Cucuta
AV16,13485070,UC,UC,CD Pereira
AV04,10284342,UC,UC,CD Tibasosa
AV34,10985671,UC,UC,CD Puente Nacional
AV78,14164190,UC,UC,CD Montevideo
AV22,12869057,UC,UC,CD Armenia
AV71,13946780,UC,UC,CD Chapinero UDC
AV47,11463487,UC,UC,CD Sibate
AV02,12160695,UC,UC,CD Bucaramanga
AV22,13666857,UC,UC,CD Armenia
AV12,14116819,KA,UC,CD Valledupar
AV05,12797739,UC,UC,CD Itagüi
AV19,13234023,UC,UC,CD Villavicencio
AV06,11138791,UC,UC,CD Tocancipa
AV20,14129786,UC,UC,CD Cucuta
AV52,13731188,UC,UC,CD Aranjuez UDC
AV26,14021421,UC,UC,CD Autosur
AV47,10763405,UC,UC,CD Sibate
AV24,14191178,UC,UC,CD Yopal
AV17,14126981,UC,UC,CD Girardot
AV12,12965814,UC,UC,CD Valledupar
AV10,14129094,UC,UC,CD Turbaco
AV55,12499418,UC,UC,CD Girardota
AV49,13033150,UC,UC,CD Metroparque
AV13,14026565,UC,UC,CD Corozal
AV55,10784637,UC,UC,CD Girardota
AV04,10281292,UC,UC,CD Tibasosa
AV50,14129424,UC,UC,CD Siberia
AV42,13588274,UC,UC,CD Tunja
AV15,11589450,UC,UC,CD Pasto
AV12,12211246,UC,UC,CD Valledupar
AV11,14117471,UC,UC,CD Santa Marta
AV20,14156165,UC,UC,CD Cucuta
AV42,12557202,UC,UC,CD Tunja
AV15,10448901,UC,UC,CD Pasto
AV12,12501248,UC,UC,CD Valledupar
AV24,11693217,UC,UC,CD Yopal
AV17,13718920,UC,UC,CD Girardot
AV49,11363371,UC,UC,CD Metroparque
AV06,13544181,KA,KA,CD Tocancipa
AV06,10603107,UC,UC,CD Tocancipa
AV78,13864493,UC,UC,CD Montevideo
AV19,13845615,UC,UC,CD Villavicencio
AV26,12439009,UC,UC,CD Autosur
AV26,11327463,UC,UC,CD Autosur
AV13,14012976,UC,UC,CD Corozal
AV42,12240566,UC,UC,CD Tunja
AV46,10889324,UC,UC,CD Cali
AV23,12216360,UC,UC,CD Bucaramanga
AV78,13468584,UC,UC,CD Montevideo
AV50,14105834,UC,UC,CD Siberia
AV66,13521133,UC,UC,CD Chiquinquira
AV20,12576381,UC,UC,CD Cucuta
AV35,12721164,UC,UC,CD San Gil
AV70,11267241,KA,UC,CD Envigado UDC
AV47,12862305,UC,UC,CD Sibate
AV26,10591102,UC,UC,CD Autosur
AV50,10598693,UC,UC,CD Siberia
AV74,14101104,UC,UC,CD La arenosa
AV55,11454523,UC,UC,CD Girardota
AV70,10533117,UC,UC,CD Envigado UDC
AV35,13720758,UC,UC,CD San Gil
AV27,12291048,UC,UC,CD Ibague
AV26,10590903,UC,UC,CD Autosur
AV26,14197853,UC,UC,CD Autosur
AV26,11407652,UC,UC,CD Autosur
AV23,10462112,UC,UC,CD Bucaramanga
AV47,12725202,UC,UC,CD Sibate
AV06,10487198,UC,UC,CD Tocancipa
AV26,13753442,UC,UC,CD Autosur
AV04,13697788,UC,UC,CD Tibasosa
AV04,13540572,UC,UC,CD Tibasosa
AV05,12611643,UC,UC,CD Itagüi
AV35,13384489,UC,UC,CD San Gil
AV42,12791608,UC,UC,CD Tunja
AV23,13176320,UC,UC,CD Bucaramanga
AV17,13032775,UC,UC,CD Girardot
AV47,11566209,UC,UC,CD Sibate
AV26,13799941,UC,UC,CD Autosur
AV10,12512782,UC,UC,CD Turbaco
AV50,12685238,UC,UC,CD Siberia
AV11,14188906,UC,UC,CD Santa Marta
AV04,12250882,UC,UC,CD Tibasosa
AV26,12882087,UC,UC,CD Autosur
AV47,14101561,UC,UC,CD Sibate
AV42,12654091,UC,UC,CD Tunja
AV26,13651065,UC,UC,CD Autosur
AV47,13846547,UC,UC,CD Sibate
AV57,12183885,UC,UC,CD Tulua
AV26,11208348,UC,UC,CD Autosur
AV22,10475826,UC,UC,CD Armenia
AV39,11448162,UC,UC,CD Monteria
AV78,12226742,UC,UC,CD Montevideo
AV50,13404249,UC,UC,CD Siberia
AV24,12975194,UC,UC,CD Yopal
AV26,14010787,UC,UC,CD Autosur
AV53,12953758,UC,UC,CD Bosa UDC
AV05,11401502,UC,UC,CD Itagüi
AV27,13944723,KA,UC,CD Ibague
AV55,14138191,UC,UC,CD Girardota
AV17,13815103,UC,UC,CD Girardot
AV16,10419798,UC,UC,CD Pereira
AV78,11293719,KA,UC,CD Montevideo
AV42,14171162,UC,UC,CD Tunja
AV73,11460893,UC,UC,CD El Jardin UDC
AV47,14122524,UC,UC,CD Sibate
AV46,11368009,UD DSD,UD DSD,CD Cali
AV49,13475726,UC,UC,CD Metroparque
AV17,11209317,UC,UC,CD Girardot
AV06,11059092,UC,UC,CD Tocancipa
AV20,11258625,UC,UC,CD Cucuta
AV70,10534492,UC,UC,CD Envigado UDC
AV10,11675121,UC,UC,CD Turbaco
AV30,12573335,UC,UC,CD Riohacha
AV23,13928537,UC,UC,CD Bucaramanga
AV53,13808290,UC,UC,CD Bosa UDC
AV06,10488862,UC,UC,CD Tocancipa
AV06,14028603,UC,UC,CD Tocancipa
AV42,13052141,UC,UC,CD Tunja
AV26,11580441,UC,UC,CD Autosur
AV55,12785730,UC,UC,CD Girardota
AV50,12725288,UC,UC,CD Siberia
AV06,14185702,UC,UC,CD Tocancipa
AV68,11468122,UC,UC,CD Bodega MKP Tocancipá
AV10,12964426,UC,UC,CD Turbaco
AV73,12461993,UC,UC,CD El Jardin UDC
AV10,13384110,UC,UC,CD Turbaco
AV10,13033312,UC,UC,CD Turbaco
AV10,14048475,UC,UC,CD Turbaco
AV47,14145875,UC,UC,CD Sibate
AV17,12219571,UC,UC,CD Girardot
AV26,10744346,UC,UC,CD Autosur
AV49,12437417,UC,UC,CD Metroparque
AV46,11682200,UC,UC,CD Cali
AV06,10795378,KA,KA,CD Tocancipa
AV06,10492086,UC,UC,CD Tocancipa
AV52,12692437,UC,UC,CD Aranjuez UDC
AV19,14044907,UC,UC,CD Villavicencio
AV05,14141747,UC,UC,CD Itagüi
AV26,13521787,UC,UC,CD Autosur
AV04,13717328,UC,UC,CD Tibasosa
AV05,14119150,UC,UC,CD Itagüi
AV11,12394586,UC,UC,CD Santa Marta
AV23,10463525,UC,UC,CD Bucaramanga
AV34,12623416,UC,UC,CD Puente Nacional
AV20,13842278,UC,UC,CD Cucuta
AV05,10528863,KA,KA,CD Itagüi
AV20,12236219,UC,UC,CD Cucuta
AV50,13852756,UC,UC,CD Siberia
AV47,12290922,UC,UC,CD Sibate
AV20,10394620,UC,UC,CD Cucuta
AV20,10385311,UC,UC,CD Cucuta
AV17,13355104,UC,UC,CD Girardot
AV46,11687653,UC,UC,CD Cali
AV10,13540419,UC,UC,CD Turbaco
AV52,13860746,UC,UC,CD Aranjuez UDC
AV46,12805197,UC,UC,CD Cali
AV45,10562279,UC,UC,CD Av Colombia UDC
AV71,14136524,UC,UC,CD Chapinero UDC
AV11,13237892,UC,UC,CD Santa Marta
AV20,11236521,UC,UC,CD Cucuta
AV42,13483119,UC,UC,CD Tunja
AV04,11706168,UC,UC,CD Tibasosa
AV16,12875846,UC,UC,CD Pereira
AV34,13047520,UC,UC,CD Puente Nacional
AV74,11736311,UC,UC,CD La arenosa
AV22,12480920,UC,UC,CD Armenia
AV20,14084353,UC,UC,CD Cucuta
AV50,12845192,UC,UC,CD Siberia
AV26,11751854,UC,UC,CD Autosur
AV42,11799422,UC,UC,CD Tunja
